Date,Year,Month,Customer Age,Customer Gender,Country,State,ProductCategory,Sub Category,Quantity,Unit Cost,Unit Price,Cost,Revenue,Profit
1/29/2022,2022,January,41,M,Germany,Hessen,Accessories,Tires and Tubes,1,660,1066,660,1066,406
1/29/2022,2022,January,41,M,Germany,Hessen,Accessories,Tires and Tubes,1,37,56,37,56,19
3/19/2022,2022,March,41,M,Germany,Hessen,Bikes,Touring Bikes,1,2384,2988,2384,2988,604
3/19/2022,2022,March,41,M,Germany,Hessen,Accessories,Tires and Tubes,2,377,589,754,1178,424
3/19/2022,2022,March,41,M,Germany,Hessen,Accessories,Tires and Tubes,2,37.5,56.5,75,113,38
6/13/2022,2022,June,41,M,Germany,Hessen,Bikes,Road Bikes,3,814.33,1139.666667,2443,3419,976
6/13/2022,2022,June,41,M,Germany,Hessen,Accessories,Bottles and Cages,3,18,25.333333,54,76,22
07/01/2022,2022,July,41,M,Germany,Hessen,Accessories,Bottles and Cages,2,25,33.5,50,67,17
07/01/2022,2022,July,41,M,Germany,Hessen,Accessories,Bottles and Cages,3,46.67,59,140,177,37
6/22/2022,2022,June,41,F,Germany,Hamburg,Accessories,Cleaners,1,111,166,111,166,55
10/05/2022,2022,October,41,F,Germany,Hamburg,Accessories,Cleaners,3,63.67,84.666667,191,254,63
07/05/2022,2022,July,42,F,Germany,Saarland,Accessories,Bottles and Cages,1,105,138,105,138,33
07/05/2022,2022,July,42,F,Germany,Saarland,Accessories,Bottles and Cages,2,55,80.5,110,161,51
07/10/2022,2022,July,35,F,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,1,2320,2548,2320,2548,228
07/08/2022,2022,July,36,F,Germany,Bayern,Bikes,Mountain Bikes,2,1160,1253,2320,2506,186
07/03/2022,2022,July,36,M,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,3,773.33,908.666667,2320,2726,406
07/03/2022,2022,July,36,M,Germany,Nordrhein-Westfalen,Accessories,Bottles and Cages,1,30,40,30,40,10
07/03/2022,2022,July,36,M,Germany,Nordrhein-Westfalen,Accessories,Bottles and Cages,2,17.5,23.5,35,47,12
07/03/2022,2022,July,36,M,Germany,Nordrhein-Westfalen,Accessories,Helmets,3,186.67,265,560,795,235
10/02/2022,2022,October,42,M,Germany,Hamburg,Clothing,Jerseys,3,216,257.333333,648,772,124
01/09/2022,2022,January,43,F,Germany,Hessen,Clothing,Jerseys,3,83.33,117.333333,250,352,102
